Benchmark,TimeLimit,Method,Problem,Outcome,RunningTime
DoublyLinkedList,-1,Pretrain,Pretrain,SUCCESS,493.3447370529175
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem00.dfy,SUCCESS,3.849390983581543
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem01.dfy,SUCCESS,8.28931975364685
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem02.dfy,SUCCESS,15.406781435012817
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem03.dfy,SUCCESS,60.31215167045593
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem04.dfy,SUCCESS,72.72179770469666
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem05.dfy,SUCCESS,270.04327416419983
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem06.dfy,SUCCESS,313.47150349617004
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem07.dfy,SUCCESS,408.23918533325195
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem08.dfy,SUCCESS,684.7024192810059
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem09.dfy,SUCCESS,706.202752828598
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem10.dfy,SUCCESS,871.8785111904144
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem11.dfy,SUCCESS,956.0893280506134
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem12.dfy,SUCCESS,1135.8723282814026
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem13.dfy,SUCCESS,1311.6942541599274
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem14.dfy,SUCCESS,1352.8550238609314
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem15.dfy,SUCCESS,1550.5980846881866
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem16.dfy,SUCCESS,1832.7332882881165
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem17.dfy,SUCCESS,2042.6829512119293
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem18.dfy,SUCCESS,2498.8788135051727
DoublyLinkedList,14400,Metamorph (Piecewise Metric),Problems/Problem19.dfy,SUCCESS,2238.476304292679
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem00.dfy,SUCCESS,3.6278016567230225
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem01.dfy,SUCCESS,12.581376552581787
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem02.dfy,SUCCESS,23.429525136947632
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem03.dfy,SUCCESS,70.73952102661133
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem04.dfy,SUCCESS,110.81274461746216
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem05.dfy,SUCCESS,401.92693185806274
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem06.dfy,SUCCESS,429.31281661987305
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem07.dfy,SUCCESS,471.9665117263794
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem08.dfy,SUCCESS,782.0868511199951
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem09.dfy,SUCCESS,719.094272851944
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem10.dfy,SUCCESS,932.4624247550964
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem11.dfy,SUCCESS,1094.6445953845978
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem12.dfy,SUCCESS,1111.8384292125702
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem13.dfy,SUCCESS,1221.2626371383667
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem14.dfy,SUCCESS,1438.4372658729553
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem15.dfy,SUCCESS,1627.9654879570007
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem16.dfy,SUCCESS,2032.7282419204712
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem17.dfy,SUCCESS,2151.897137403488
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem18.dfy,SUCCESS,2490.049292087555
DoublyLinkedList,14400,Metamorph (Greedy Metric),Problems/Problem19.dfy,SUCCESS,2148.9157724380493
DoublyLinkedList,14400,Baseline,Problems/Problem00.dfy,SUCCESS,3.7793190479278564
DoublyLinkedList,14400,Baseline,Problems/Problem01.dfy,SUCCESS,3.7678356170654297
DoublyLinkedList,14400,Baseline,Problems/Problem02.dfy,SUCCESS,4.003056764602661
DoublyLinkedList,14400,Baseline,Problems/Problem03.dfy,SUCCESS,4.326803922653198
DoublyLinkedList,14400,Baseline,Problems/Problem04.dfy,SUCCESS,14.415755033493042
DoublyLinkedList,14400,Baseline,Problems/Problem05.dfy,SUCCESS,271.89967155456543
DoublyLinkedList,14400,Baseline,Problems/Problem06.dfy,TIMEOUT,14403.143936395645
DoublyLinkedList,14400,Metamorph (No Distance Metric),Problems/Problem00.dfy,SUCCESS,3.4853708744049072
DoublyLinkedList,14400,Metamorph (No Distance Metric),Problems/Problem01.dfy,SUCCESS,7.869453430175781
DoublyLinkedList,14400,Metamorph (No Distance Metric),Problems/Problem02.dfy,SUCCESS,842.6900131702423
DoublyLinkedList,14400,Metamorph (No Distance Metric),Problems/Problem03.dfy,SUCCESS,3325.9306683540344
DoublyLinkedList,14400,Metamorph (No Distance Metric),Problems/Problem04.dfy,SUCCESS,12327.227344751358
DoublyLinkedList,14400,Metamorph (No Distance Metric),Problems/Problem05.dfy,TIMEOUT,14410.546792507172
BinaryTree,-1,Pretrain,Pretrain,SUCCESS,1.890587568283081
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem00.dfy,SUCCESS,3.397475242614746
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem01.dfy,SUCCESS,4.037580490112305
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem02.dfy,SUCCESS,4.705242395401001
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem03.dfy,SUCCESS,5.737574338912964
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem04.dfy,SUCCESS,6.305490493774414
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem05.dfy,SUCCESS,7.285644769668579
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem06.dfy,SUCCESS,8.08546257019043
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem07.dfy,SUCCESS,9.857491254806519
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem08.dfy,SUCCESS,11.533371686935425
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem09.dfy,SUCCESS,15.679555892944336
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem10.dfy,SUCCESS,16.411497831344604
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem11.dfy,SUCCESS,19.365520238876343
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem12.dfy,SUCCESS,22.577481746673584
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem13.dfy,SUCCESS,25.49746346473694
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem14.dfy,SUCCESS,28.297508716583252
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem15.dfy,SUCCESS,63.41759133338928
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem16.dfy,SUCCESS,43.97364902496338
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem17.dfy,SUCCESS,50.18352389335632
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem18.dfy,SUCCESS,63.2115535736084
BinaryTree,14400,Metamorph (Piecewise Metric),Problems/Problem19.dfy,SUCCESS,92.14556312561035
